dataset,meta,base,seed,qini,qini_ci_lo,qini_ci_hi,final_qini,auuc,t_importance,t_kind,mean_abs_uplift,degenerate,fit_time_s,predict_time_s,n_train,n_test
criteo,propensity,hgb,42,8561.313136231387,7945.819028701787,9086.067049716601,24514.117144785123,20818.371708623974,,n/a,0.04704970607775254,False,1.2046980419981992,0.5822603330016136,500000,2795919
criteo,propensity,xgb,42,8585.180715539884,7945.3968856916945,9123.94512182483,24514.117144785123,20842.239287932454,,n/a,0.04697638005018234,False,0.40935070799605455,0.2743770000015502,500000,2795919
criteo,propensity,lgbm,42,8596.468608340248,7955.360510572846,9118.437704872558,24514.117144785123,20853.527180732806,,n/a,0.04699363390101728,False,0.9742213749996154,0.4872324999960256,500000,2795919
criteo,propensity,rf,42,8584.3103454515,7964.04115849579,9095.635996578925,24514.117144785123,20841.368917844055,,n/a,0.046993247391364186,False,2.7294615419959882,0.8372331669961568,500000,2795919
criteo,propensity,lr,42,8147.98033799384,7534.466141467705,8663.916014972065,24514.117144785123,20405.0389103864,,n/a,0.0469760144671481,False,0.13159895800345112,0.09449599999788916,500000,2795919
criteo,s,hgb,42,8803.671447151382,8190.712180920173,9353.804236124237,24514.117144785123,21060.730019543968,0.03944444444444444,split_share,0.006375318688898169,False,1.0025246669974877,1.1677999579987954,500000,2795919
criteo,s,xgb,42,8924.213253109494,8272.547467533399,9468.808954645074,24514.117144785123,21181.27182550206,0.008185207843780518,gain,0.0069991485215723515,False,0.4140971669985447,0.5215679999964777,500000,2795919
criteo,s,lgbm,42,8614.179601709793,7827.989510662304,9157.889189657391,24514.117144785123,20871.238174102386,0.027,impurity,0.007471150802494893,False,0.9679809160006698,1.0074685829968075,500000,2795919
criteo,s,rf,42,8548.24639221817,7889.483028020979,9046.727725765079,24514.117144785123,20805.30496461073,0.002267358737309206,impurity,0.0036421340217564343,False,2.6024484589943313,1.626531582995085,500000,2795919
criteo,s,lr,42,8104.609043272292,7490.362287119303,8627.639001446938,24514.117144785123,20361.667615664857,0.02955679176765292,coef_abs_share,0.007004662183443613,False,0.14245770900015486,0.19125712499953806,500000,2795919
criteo,t,hgb,42,7187.243925894006,6558.53691333029,7753.312316396733,24514.117144785123,19444.302498286575,,n/a,0.012723608529520368,False,1.2824833750055404,0.857522667000012,500000,2795919
criteo,t,xgb,42,7349.117830779237,6655.408964774569,8089.901620814113,24514.117144785123,19606.176403171798,,n/a,0.012538566254079342,False,0.6116952079973998,0.5321708330011461,500000,2795919
criteo,t,lgbm,42,6665.072326227359,5902.557961081306,7265.282914693448,24514.117144785123,18922.13089861992,,n/a,0.013854018908075862,False,1.7529785410006298,1.020187292000628,500000,2795919
criteo,t,rf,42,8358.583554219293,7767.346091059604,8987.509478883083,24514.117144785123,20615.642126611852,,n/a,0.010091706918110874,False,2.6213979160020244,1.5283813330024714,500000,2795919
criteo,t,lr,42,8433.47619574934,7904.029703596653,8997.071266610768,24514.117144785123,20690.534768141915,,n/a,0.00787569613450976,False,0.1600902079953812,0.19618733300012536,500000,2795919
criteo,cts,hgb,42,5281.0403067619245,4625.901739666049,5811.766640812671,24514.117144785123,17538.098879154484,,n/a,0.014899675304483917,False,0.7401870829999098,0.26591112499590963,500000,2795919
criteo,cts,xgb,42,4526.829562690028,4034.239029573987,5116.452889094481,24514.117144785123,16783.888135082583,,n/a,0.02110115811228752,False,0.36648854200029746,0.23461595799744828,500000,2795919
criteo,cts,lgbm,42,5184.466306360883,4531.810882780805,5742.67908597874,24514.117144785123,17441.524878753444,,n/a,0.0186713375941864,False,0.9361010419961531,0.3862995410017902,500000,2795919
criteo,cts,rf,42,5158.533482192584,4572.764217352913,5719.071748158512,24514.117144785123,17415.592054585144,,n/a,0.014486979397009601,False,2.788912625001103,0.5719600410011481,500000,2795919
criteo,cts,lr,42,8261.475166581939,7627.2273514256985,8852.039452908752,24514.117144785123,20518.533738974504,,n/a,0.010000725057704558,False,0.07838104199618101,0.09693166699435096,500000,2795919
criteo,x,hgb,42,7608.227642217516,6925.651487690868,8276.798796566734,24514.117144785123,19865.28621461008,,n/a,0.008533747871811711,False,2.748920458005159,0.623552416000166,500000,2795919
criteo,x,xgb,42,7190.352422562912,6504.863072991571,7824.849929990157,24514.117144785123,19447.41099495545,,n/a,0.010552186518907547,False,1.5799359160009772,0.6848658750022878,500000,2795919
criteo,x,lgbm,42,7309.025217414968,6603.488379867641,7950.1858221506545,24514.117144785123,19566.083789807533,,n/a,0.010484060046538762,False,4.287976125000569,1.4097062920045573,500000,2795919
criteo,x,rf,42,8046.9200754056255,7381.023513316214,8597.849256118467,24514.117144785123,20303.978647798187,,n/a,0.008647456870444633,False,13.118573708998156,1.7252902500040364,500000,2795919
criteo,x,lr,42,8588.947996302966,8007.89535297764,9072.369395382551,24514.117144785123,20846.006568695524,,n/a,0.00966246956673454,False,0.32226437499775784,0.208004375002929,500000,2795919
criteo,cf,hgb,42,8470.177626924513,7837.297710900438,9022.602923924382,24514.117144785123,20727.236199317067,,n/a,0.01224018609332055,False,17.031511583001702,6.711041208000097,500000,2795919
criteo,cf,xgb,42,8411.887080078553,7830.302862947126,8934.44799308247,24514.117144785123,20668.945652471117,,n/a,0.012281743908449702,False,16.29871887500485,6.719147249998059,500000,2795919
criteo,cf,lgbm,42,8270.648169727008,7672.265385670938,8815.82319919211,24514.117144785123,20527.706742119568,,n/a,0.01216565861147155,False,18.450080000002345,6.697663250000915,500000,2795919
criteo,cf,rf,42,8244.97191506228,7554.725181429299,8761.977411455495,24514.117144785123,20502.030487454846,,n/a,0.012145171512982196,False,24.402313833001244,6.797568709000188,500000,2795919
criteo,cf,lr,42,8015.321124924705,7294.54123993777,8560.495735560537,24514.117144785123,20272.37969731726,,n/a,0.012613838321933066,False,13.90852187499695,6.73367116600275,500000,2795919
hillstrom,propensity,hgb,42,8.211033427954733,-10.206007786201935,24.989084101926224,170.1727294062427,93.29739813107608,,n/a,0.128516623281508,False,0.28372516699892003,0.002588874995126389,34154,8539
hillstrom,propensity,xgb,42,15.694417291952886,-4.44833561597073,31.947401392352702,170.1727294062427,100.78078199507424,,n/a,0.12813179194927216,False,0.258718790995772,0.0013660830009030178,34154,8539
hillstrom,propensity,lgbm,42,13.520649582017079,-3.5687708922222035,30.346723820235916,170.1727294062427,98.60701428513843,,n/a,0.12814000280655483,False,0.7333070409949869,0.003723499998159241,34154,8539
hillstrom,propensity,rf,42,11.025983506110748,-4.338113235695179,26.69619301627478,170.1727294062427,96.1123482092321,,n/a,0.1284933027388867,False,0.13734241699421545,0.012342542002443224,34154,8539
hillstrom,propensity,lr,42,5.945350741481674,-9.539190082702717,25.344083463611163,170.1727294062427,91.03171544460302,,n/a,0.12874253536392175,False,0.01252758399641607,0.0011110830018878914,34154,8539
hillstrom,s,hgb,42,21.83020087643333,2.4004332944679123,40.100919152037505,170.1727294062427,106.91656557955467,0.07254901960784314,split_share,0.04387598271420171,False,0.43533895899599884,0.007508208000217564,34154,8539
hillstrom,s,xgb,42,30.4873579210842,8.93482122224767,51.36882319707531,170.1727294062427,115.57372262420554,0.08726811408996582,gain,0.050027862191200256,False,0.2690210000000661,0.0024798749946057796,34154,8539
hillstrom,s,lgbm,42,25.356657864266886,2.2190866618001,44.51607322348993,170.1727294062427,110.44302256738823,0.05633333333333333,impurity,0.04773814406802702,False,0.741462332996889,0.006907875002070796,34154,8539
hillstrom,s,rf,42,15.975915998180502,-3.655750554008343,35.16156168933081,170.1727294062427,101.06228070130184,0.08197288976693996,impurity,0.04660670102207305,False,0.13368466699466808,0.02781616700667655,34154,8539
hillstrom,s,lr,42,5.885016177925112,-9.67347202881883,25.284398481284622,170.1727294062427,90.97138088104646,0.10969642775285554,coef_abs_share,0.04672613984965268,False,0.012099082996428479,0.0012298340006964281,34154,8539
hillstrom,t,hgb,42,24.316013144282906,4.928873240383384,45.45536129942417,170.1727294062427,109.40237784740425,,n/a,0.05735133920332546,False,0.8382017919939244,0.00553599999693688,34154,8539
hillstrom,t,xgb,42,16.056899898152512,-1.321316330254443,32.23880713401087,170.1727294062427,101.14326460127386,,n/a,0.06933866441249847,False,0.48059749999811174,0.0025197499999194406,34154,8539
hillstrom,t,lgbm,42,20.662316906795777,1.8718991534404585,40.281323822241006,170.1727294062427,105.74868160991711,,n/a,0.06703089347261189,False,1.3161943329978385,0.00651845800166484,34154,8539
hillstrom,t,rf,42,14.881116506504362,-5.6270619171293035,33.248431991465196,170.1727294062427,99.96748120962572,,n/a,0.0582646419512348,False,0.19297287500376115,0.02794279099907726,34154,8539
hillstrom,t,lr,42,27.377501925406353,13.091311675284306,46.96226531678305,170.1727294062427,112.46386662852771,,n/a,0.05023888835815659,False,0.011819999999715947,0.0011128340047434904,34154,8539
hillstrom,cts,hgb,42,25.347417880847516,8.305953885676523,42.177589256435894,170.1727294062427,110.43378258396886,,n/a,0.05451061346098266,False,0.2397045000034268,0.003084249998209998,34154,8539
hillstrom,cts,xgb,42,10.643387287147917,-7.5348876604102735,26.433738832526444,170.1727294062427,95.72975199026925,,n/a,0.0940575823187828,False,0.27174550000199815,0.0013612080001621507,34154,8539
hillstrom,cts,lgbm,42,14.624479394316705,-1.2916250873528778,30.804396241473906,170.1727294062427,99.71084409743804,,n/a,0.07845735303688736,False,0.7203929579991382,0.0025386249981238507,34154,8539
hillstrom,cts,rf,42,13.73694897722107,-4.7261974968538825,27.793500285631904,170.1727294062427,98.82331368034241,,n/a,0.07678480487805943,False,0.13607141700049397,0.014017542001965921,34154,8539
hillstrom,cts,lr,42,23.957100060240617,8.195373516344512,45.4096879541599,170.1727294062427,109.04346476336195,,n/a,0.04901783720224293,False,0.010357291997934226,0.0006599999978789128,34154,8539
hillstrom,x,hgb,42,25.25668940386917,7.447096062817353,46.85974082541316,170.1727294062427,110.34305410699052,,n/a,0.047982781330007086,False,1.4250343750027241,0.0055294999983743764,34154,8539
hillstrom,x,xgb,42,17.002491108478818,-2.678701649001004,33.77276815723527,170.1727294062427,102.08885581160015,,n/a,0.060223538428545,False,1.1266657500018482,0.0038107090003904887,34154,8539
hillstrom,x,lgbm,42,18.496356695182318,1.2606582208334842,38.19358642718652,170.1727294062427,103.58272139830365,,n/a,0.05682627978983636,False,3.230256125003507,0.008674000004248228,34154,8539
hillstrom,x,rf,42,24.720841681392972,2.01600540711871,42.40456254440592,170.1727294062427,109.80720638451433,,n/a,0.05349937600503644,False,0.6631970829985221,0.04121770799974911,34154,8539
hillstrom,x,lr,42,24.881163870724365,10.893743968319813,46.354234834936626,170.1727294062427,109.9675285738457,,n/a,0.04752170247789102,False,0.03059262500028126,0.00210454199986998,34154,8539
hillstrom,cf,hgb,42,26.892394216765485,7.13146941199194,45.23451722015284,170.1727294062427,111.97875891988683,,n/a,0.05049565776511183,False,1.2365577080054209,0.02553283300221665,34154,8539
hillstrom,cf,xgb,42,24.16267724715688,5.3949816488479705,41.737734373817226,170.1727294062427,109.24904195027824,,n/a,0.049520287635399805,False,1.4334725410008105,0.02580379100254504,34154,8539
hillstrom,cf,lgbm,42,23.60086530915261,4.409298842693604,41.93984016018692,170.1727294062427,108.68723001227396,,n/a,0.0502336616656104,False,3.188493958004983,0.0258056660022703,34154,8539
hillstrom,cf,rf,42,25.959696141415346,7.103130562101768,44.27553139750326,170.1727294062427,111.0460608445367,,n/a,0.0507707078533019,False,1.2729555420010001,0.02607608299877029,34154,8539
hillstrom,cf,lr,42,26.851192029105977,7.977552907712816,45.7018424989597,170.1727294062427,111.9375567322273,,n/a,0.049989209465687634,False,0.6077937079971889,0.024550917005399242,34154,8539
